iter	Passed	Remaining
468	743	841
469	743	838
470	744	836
471	745	833
472	751	837
473	752	834
474	752	832
475	753	829
476	754	827
477	755	824
478	755	822
479	756	819
480	757	817
481	758	814
482	758	812
483	759	810
484	760	807
485	763	807
486	764	805
487	765	803
488	766	800
489	767	798
490	769	797
491	770	795
492	771	793
493	772	791
494	773	789
495	774	787
496	775	785
497	780	787
498	783	786
499	785	785
500	786	783
501	787	781
502	788	778
503	789	776
504	790	774
505	790	772
506	791	769
507	793	768
508	794	766
509	800	768
510	801	766
511	802	764
512	803	762
513	804	760
514	808	761
515	810	760
516	811	757
517	812	756
518	813	754
519	814	751
520	815	749
521	816	747
522	817	745
523	817	742
524	818	740
525	819	738
526	820	736
527	826	738
528	827	736
529	828	734
530	829	732
531	830	730
532	831	728
533	832	726
534	832	723
535	833	721
536	834	719
537	835	717
538	836	715
539	842	717
540	843	715
541	844	713
542	845	711
543	846	709
544	847	707
545	847	705
546	848	702
547	849	700
548	851	699
549	852	697
550	856	697
551	857	695
552	858	693
553	859	691
554	860	689
555	861	687
556	861	685
557	862	683
558	863	681
559	864	679
560	865	677
561	866	675
562	867	672
563	871	673
564	873	672
565	874	670
566	875	668
567	876	666
568	877	664
569	878	662
570	879	660
571	880	658
572	881	656
573	882	654
574	885	654
575	888	653
576	889	651
577	890	649
578	891	647
579	892	646
580	893	644
581	894	642
582	895	640
583	895	638
584	896	636
585	897	633
586	898	631
587	903	633
588	904	631
589	906	629
590	906	627
591	907	625
592	908	623
593	909	621
594	909	619
595	910	617
596	911	615
597	911	612
598	912	610
599	913	608
600	917	608
601	918	607
602	919	605
603	920	603
604	921	601
605	925	601
606	926	599
607	927	597
608	928	595
609	928	593
610	931	592
611	932	590
612	933	589
613	934	587
614	935	585
615	936	583
616	936	581
617	937	579
618	938	577
619	939	575
620	939	573
621	940	571
622	944	571
623	946	570
624	947	568
625	948	566
626	949	564
627	950	563
628	951	561
629	952	559
630	953	557
631	953	555
632	954	553
633	955	551
634	956	549
635	962	551
636	963	549
637	964	547
638	965	545
639	965	543
640	966	541
641	967	539
642	967	537
643	968	535
644	969	533
645	970	531
646	970	529
647	971	527
648	974	526
649	976	525
650	979	525
651	980	523
652	981	521
653	981	519
654	982	517
655	983	515
656	984	514
657	985	512
658	996	515
659	997	513
660	998	511
661	999	510
662	1000	508
663	1001	506
664	1007	507
665	1009	506
666	1010	504
667	1011	502
668	1012	501
669	1013	499
670	1014	497
671	1015	495
672	1016	493
673	1026	496
674	1027	494
675	1028	492
676	1029	491
677	1030	489
678	1030	487
679	1031	485
680	1032	483
681	1033	481
682	1034	480
683	1039	480
684	1040	478
685	1041	476
686	1043	475
687	1044	473
688	1045	471
689	1046	470
690	1047	468
691	1048	466
692	1048	464
693	1049	462
694	1055	463
695	1056	461
696	1056	459
697	1057	457
698	1058	455
699	1059	454
700	1060	452
701	1061	450
702	1062	448
703	1063	446
704	1064	445
705	1082	450
706	1087	450
707	1088	448
708	1088	446
709	1089	445
710	1090	443
711	1091	441
712	1092	439
713	1093	437
714	1094	436
715	1095	434
716	1096	432
717	1097	430
718	1104	431
719	1105	429
720	1106	428
721	1107	426
722	1108	424
723	1110	423
724	1111	421
725	1112	419
726	1113	418
727	1118	418
728	1119	416
729	1120	414
730	1121	412
731	1122	410
732	1123	409
733	1124	407
734	1124	405
735	1125	403
736	1129	403
737	1134	402
738	1135	400
739	1136	399
740	1137	397
